מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
13,5,מברשת שיניים חשמלית אורל בי,4210201043546,מברשת חשמלית נטענת-מבוגר,אורל בי,15/02/2020,69.9,"69.9 ש""ח ל- 1 יחידה",,
14,5,מברשת שיניים חשמלית פוג'יקום,7290015176378,מברשת חשמלית סגול,FUJICOM,15/02/2020,39.9,"39.9 ש""ח ל- 1 יחידה",,
15,6,תחבושות מותג הבית,7296073140993,תחבושות נורמל פלוס,שופרסל,15/02/2020,12.5,"0.45 ש""ח ל- 1 יחידה",,
16,6,תחבושות קוטקס,5029053510811,תחבושות קוטקס כנפיים,קוטקס,15/02/2020,19.9,"0.66 ש""ח ל- 1 יחידה",,
17,6,לילי,193205,תחבושות לילי ללילה,לילי,15/02/2020,11.9,"0.6 ש""ח ל- 1 יחידה",,
18,7,מגן תחתון מותג הבית,7296073140979,מגני תחתון נורמל שופרסל,שופרסל,15/02/2020,12.9,"0.22 ש""ח ל- 1 יחידה",,
19,7,מגן תחתון קוטקס,189758,מגן תחתון קוטקס דיזייןN+,קוטקס,15/02/2020,19.9,"0.4 ש""ח ל- 1 יחידה",,
20,7,אולוויז,4015400564454,מגן תח.אולוייז מגה פק L,אולוייז,15/02/2020,17.9,"0.26 ש""ח ל- 1 יחידה",,
21,8,תחליב רחצה מותג הבית,7296073344667,תחליב רחצה מאסק,שופרסל,15/02/2020,8.9,"1.19 ש""ח ל- 100 מ""ל",,
22,8,פינוק,7290100247051,תחליב רחצה פינוק קלאסי,פינוק,15/02/2020,10.9,"1.56 ש""ח ל- 100 מ""ל",,
23,8,דאב,8712561594608,תחליב רחצה להזנה עמוקה,דאב,15/02/2020,16.9,"2.25 ש""ח ל- 100 מ""ל",,
24,9,ג'ל רחצה מותג הבית,7296073344629,ג'ל רחצה בריזה,שופרסל,15/02/2020,8.9,"1.19 ש""ח ל- 100 מ""ל",,
25,9,ג'ל רחצה crema,7290012117428,קרמה ג'ל רחצה ושמפו לגבר,קרמה,15/02/2020,14.9,"2.13 ש""ח ל- 100 מ""ל",,
26,9,ג'ל רחצה palmolive,7290111937057,ג'ל רחצה מיסלרי פשתן,פלמוליב,15/02/2020,12.9,"2.58 ש""ח ל- 100 מ""ל",,
27,10,אל סבון 1 ליטר מותג הבית,7296073255710,אל סבון  קמומיל שופרסל,שופרסל,15/02/2020,7.5,"0.75 ש""ח ל- 100 מ""ל",,
28,10,אל סבון כיף,5424403,אל סבון כיף אצות ים,כיף,15/02/2020,10.9,"1.09 ש""ח ל- 100 מ""ל",,
29,10,אל סבון family,7290016319293,אל סבון פמלי רוח ים,פמלי,15/02/2020,9.9,"0.99 ש""ח ל- 100 מ""ל",,
30,11,אל סבון מארז מותג הבית,7296073254294,אל סבון סגול שופרסל,שופרסל,15/02/2020,10,"0.67 ש""ח ל- 100 מ""ל",,
31,11,אל סבון כיף מארז,5423888,אל סבון כיף סגול,כיף,15/02/2020,16.9,"1.13 ש""ח ל- 100 מ""ל",,
