מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
51,19,שמן קנולה בורחס/ מילומור,7290002374312,מוצר לא נמצא,,,,,,
52,20,שמן זית 750 מ' מותג הבית,7290016733709,שמן זית כתית מעולה ר,לא ידוע,2019-01-10 10:21:45,27.90,0.0372,,
53,20,שמן זית עץ הזית,7290017142128,שמן זית כתית מעולה ק,לא ידוע,2018-01-04 15:41:09,31.90,0.0425,,
54,20,שמן זית יד מרדכי,7290010429554,שמן זית 2 קלאסי 750,יד מרדכי,2019-04-29 09:49:56,29.90,0.0399,,
55,21,פתיתים מותג הבית,7290015834285,פתיתים אורז רמי לוי,רמי לוי,2020-04-16 05:56:54,3.90,0.0078,,
56,21,פתיתים אסם,7290000060200,פתיתים אפויים קוסקוס,אסם,2020-04-16 05:56:41,6.70,0.0134,,
57,21,פתיתים סוגת,7290100702611,מוצר לא נמצא,,,,,,
58,22,אורז 1 קילו מותג הבית,7290017406367,אורז פרסי 1קג זיפר ר,לא ידוע,2018-10-19 06:45:56,5.90,0.0059,,
59,22,אורז פרסי קלאסי סוגת,7290000211442,סוגת אורז פרסי 1 קג,סוגת,2019-10-06 13:28:41,9.80,0.0098,,
60,22,אורז ויליפוד,8901537024014,אורז בסמטי וילי פוד,דאווט,2015-02-10 08:53:01,12.90,0.0129,,
61,23,שקדי מרק 400 גרם מותג הבית,7290016272925,שקדי מרק רמי לוי 400,רמי לוי,2017-07-17 14:44:47,6.90,0.0173,,
62,23,שקדי מרק מנה,7290003514007,שקדי מרק מנה 400 גרם,מאנה,2016-12-13 12:51:04,7.80,0.0195,,
63,23,שקדי מרק אסם,7290000063140,שקדי מרק בשקית אסם 4,אסם,2014-04-30 08:22:50,9.80,0.0245,,
64,24,טחינה גולמית מותג הבית,7290011468620,טחינה גולמית 500ג רמ,לא ידוע,2020-05-01 11:16:35,8.90,0.0178,,
65,24,טחינה גולמית בארכה,7290000112220,טחינה גולמית שומשום,בארכה,2016-01-27 10:52:58,13.90,0.0278,,
66,24,טחינה ירושלים,7290010627844,טחינה ירושלים מלא 50,לא ידוע,2020-05-20 14:03:34,14.90,0.0298,,
67,25,"מיונז 500 ג'/ 1 ק""ג מותג הבית",7290015681438,"מיונז רמי לוי 1ק""ג",מיטב,2019-11-25 08:51:57,13.50,0.0135,,
68,25,מיונז תלמה,7290000111353,"מיונז תלמה 1 ק""ג",תלמה,2019-03-03 12:46:39,16.90,16.9000,,
69,25,מיונז הלמנס,7290100243084,מיונז הלמנס 789 גרם,הלמנס,2014-04-20 13:26:47,17.90,0.0227,,
70,26,"דבש 350 ג'/ 1 ק""ג מותג הבית",7290015834315,דבש טהור רמי לוי 1 ק,עמק חפר,2019-11-25 08:51:57,39.90,0.0000,,
71,26,דבש יד מרדכי,7290002130581,"דבש יד מרדכי 1 ק""ג",יד מרדכי,2018-01-22 10:21:55,42.80,42.8000,,
72,26,דבש עמק חפר,7290002479109,דבש טהור מפרחי בר עמ,עמק חפר,2019-04-16 14:06:44,40.90,40.9000,,
73,27,מגבות נייר 6 יח' מותג הבית,7290016272802,מגבות רמי לוי 6 יח,לא ידוע,2019-05-21 15:35:19,9.20,1.5333,,
74,27,מגבות נייר ניקול,7290000188355,מגבות נייר ניקול 6 י,ניקול,2018-06-26 13:27:14,10.90,1.8167,,
75,27,מגבות נייר סנו,7290005427107,מגבות נייר סנו סושי,סנו,2019-04-29 15:02:01,10.90,0.0191,,
76,28,נוזל לניקוי כלים 750 מל מותג הבית,7290006784711,נוזל כלים צהוב לימון,לא ידוע,2019-05-21 15:35:18,5.70,0.0076,,
77,28,נוזל כלים פיירי,4084500088917,נוזל כלים פיירי לימו,פיירי,2019-10-06 14:33:46,8.90,0.0137,,
78,28,נוזל כלים פלמוליב,7290002730262,נוזל לניקוי כלים קלא,פלמוליב,2020-05-17 15:02:39,8.00,0.0107,,
79,29,אקונומיקה 4 ל' מותג הבית,7290015899222,אקונומיקה מבושמת סמי,רמי לוי,2019-11-25 08:51:57,8.70,2.1750,,
80,29,אקונומיקה סנט מוריץ,7290002814511,מוצר לא נמצא,,,,,,
81,29,אקונומיקה פסגה סנו,7290001791349,פיסגה אקונומיקה ריחנ,סנו,2019-01-06 16:02:00,9.90,2.4750,,
82,30,אבקת כביסה 2.5 קילו מותג הבית,7290015835558,אבקת כביסה רמי לוי 2,זוהר דליה,2018-06-26 09:14:10,14.90,5.9600,,
83,30,אקת כביסה קולון/ סוד,7290000245584,אבקת כביסה שושן מרענ,סוד,2018-05-30 14:53:00,19.90,7.9600,,
84,30,אבקת כביסה סנו,7290012116537,מקסימה אבקת כביסה בנ,סנו,2017-08-23 14:18:03,24.90,9.9600,,
85,31,מרכך כביסה 4 ל' מותג הבית,7290016255737,מרכך כביסה סגול רמיל,לא ידוע,2019-05-21 15:35:19,14.50,3.6250,,
86,31,מרכך כביסה בדין,7290000342856,בדין מרכך כביסה כחול,בדין,2015-10-07 13:27:15,19.90,4.9750,,
87,31,מרכך כביסה סנו,7290005423734,מקסימה מרכך כביסה או,סנו,2016-12-01 14:43:32,19.90,4.9750,,
88,32,נייר טואלט 32 גלילים מותג הבית,7290016272796,נייר טואלט רמי לוי 3,לא ידוע,2019-05-21 15:35:19,24.90,0.8300,,
89,32,נייר טואלט 32 גל' מולאט,7290000262031,נייר טואלט מולט לב 3,מולט,2018-06-26 13:27:14,29.90,0.9344,,
90,32,נייר טואלט 32 גל' סנו,7290000187938,נייר טואלט פסטל לילי,לילי,2016-01-03 13:23:59,38.90,1.2156,,
91,33,נייר טואלט 48 גלילים מותג הבית,7290015835947,נייר טואלט רמי לוי 4,רמי לוי,2019-05-21 15:35:18,33.90,0.0000,,
92,33,נייר טואלט 48 גל' מולאט,7290000262239,מוצר לא נמצא,,,,,,
93,33,נייר טואלט 48 גל' סנו,7290011598457,מוצר לא נמצא,,,,,,
94,34,קורנפלקס מותג הבית,7290016733532,קורנפלקס 750 גרם רמי,לא ידוע,2019-06-30 11:49:00,11.90,0.0159,,
95,34,קרונפלקס תלמה,7290107647755,מוצר לא נמצא,,,,,,
96,34,קרונפלקס קלוגס,7290002543237,דגני בוקר קלוגס קורנ,חברת קלוגס גרמניה,2019-10-10 08:46:14,13.90,0.0185,,
97,35,שוקולד מריר מארז 3/ 5 יח' מותג הבית,7290016865455,צ'וקולטה שוקולד מריר,לא ידוע,2018-03-22 14:47:52,14.80,0.0296,,
98,35,שוקולד פרה מריר עלית,7290104727726,5 טבלאות שוקולד פרה,עלית,2016-07-03 14:58:35,18.90,0.0378,,
99,35,שורולד מריר ורד הגליל מארז 5 יח',7290111350412,שוקולד מריר 48% חמיש,לא ידוע,2018-12-02 14:16:37,15.90,0.0318,,
100,36,פופקורן למיקרו מותג הבית,7290111350979,מוצר לא נמצא,,,,,,
101,36,פופקורן פופ-סטאר,7290000420332,פופסטאר חמאה 5יח',Preston farms,2019-03-18 11:59:51,10.90,0.0218,,
102,36,פופקורן הוט-פופ,5701932026971,פופקורן למיקרוגל בטע,הוט פופ,2013-11-05 13:20:12,14.90,0.0248,,
103,37,וופלים 500 ג' מותג הבית,7290016733716,וופלים שוקולד 500 ג,לא ידוע,2020-04-16 05:56:57,7.90,0.0158,,
104,37,וופלים עלית,7290000174099,מוצר לא נמצא,,,,,,
105,38,פתי בר 500 ג' מותג הבית,7290016733396,מוצר לא נמצא,,,,,,
106,38,פתי בר אסם,7290000074184,ביסקוויט פתי בר אסם,אסם,2020-04-16 05:56:42,9.90,0.0198,,
