מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
1,1,מגבונים לחים מארז מותג הבית 6 יח' (רמי לוי 4),7290017197432,מגבונים בייבי ללא בי,לא ידוע,2020-04-10 08:09:50,14.90,3.7250,,
2,1,מגבוני האגיס 4 יח',7290000195537,מגבונים לחים לעור רג,האגיס,2020-07-06 09:25:22,17.90,0.2486,,
3,1,מגבוני פמפרס/טיטולים 4 יח',7290000188782,מגבונים רביעייה פרמי,האגיס,2020-06-04 12:00:05,14.90,3.7250,,
4,2,תחליב רחצה מותג הבית,7290015325806,תחליב רחצה בניחוח קק,לא ידוע,2019-09-08 11:08:39,7.90,0.0105,,
5,2,פינוק,7290100247068,מוצר לא נמצא,,,,,,
6,2,דאב,8712561594608,דאב תחליב רחצה 750 מ,דאב,2020-06-18 08:55:20,15.90,0.0212,,
7,3,ג'ל רחצה מותג הבית,7290015325790,ג'ל רחצה מועשר חוחוב,לא ידוע,2019-09-08 11:08:39,7.90,0.0105,,
8,3,ג'ל רחצה crema,7290013848383,מוצר לא נמצא,,,,,,
9,3,ג'ל רחצה palmolive,7290111936333,פלמוליב ג'ל רחצה מים,לא ידוע,2020-07-06 15:49:32,13.90,0.0000,,
10,4,אל סבון 1 ליטר מותג הבית,7290017197623,אל סבון בניחוח לבנדר,לא ידוע,2020-04-10 08:09:50,7.90,7.9000,,
11,4,אל סבון כיף,7290005424403,אל סבון נוזלי בניחוח,כיף,2020-07-27 13:56:21,9.90,9.9000,,
12,4,אל סבון family,7290001865439,פמלי לקשרי 1ליטר וני,פמילי,2019-03-18 11:56:18,9.90,9.9000,,
13,5,אל סבון מארז מותג הבית,7290108272895,"סבון ידיים 3*500 מ""ל",לא ידוע,2020-04-10 08:09:50,11.50,7.6667,,
14,5,אל סבון כיף מארז,7290005423888,אל סבון נוזלי מעורב,כיף,2020-06-04 11:59:49,16.90,11.2667,,
15,5,אל סבון family מארז,7290012193170,מוצר לא נמצא,,,,,,
16,6,ג'ל גילוח מותג הבית,7290001072103,ג'ל גילוח קמומיל ויט,לא ידוע,2018-11-29 13:09:34,9.90,0.0000,,
17,6,ג'ל גילוח ג'ילט,3014260214692,ג'ל גילוח ג'ילט סירי,ג'ילט,2020-07-15 12:41:14,16.90,0.0845,,
18,6,ג'ל גילוח crema,7290011765095,ג'ל גילוח לעור עדין,קרמה,2020-07-06 09:24:57,13.90,0.0695,,
19,7,גבינה צהובה פרוסות 200 ג' מותג הבית,7290004256432,מוצר לא נמצא,,,,,,
20,7,נעם 200 ג',7290102394821,נעם גבינה צהובה פרוס,טרה,2018-10-02 08:11:01,15.20,0.0760,,
21,7,עמק 200 ג',7290004122270,עמק פרוס בקופסא 200,תנובה,2019-06-18 14:02:58,14.90,0.0745,,
22,8,"נקניקיות 1 ק""ג מותג הבית",7290012228001,נקניקיות עוף רמי לוי,לא ידוע,2017-08-23 12:17:38,19.90,0.0199,,
23,8,זוגלובק,7290000537603,נקניקיות עוף זוגלובק,זוגלובק,2020-06-11 08:00:29,22.90,0.0229,,
24,8,טירת צבי,7290000364858,נקניקיות עוף טרי טיר,טירת צבי,2019-05-02 14:36:27,22.90,0.0229,,
25,9,נקניקיות מרגז 400 ג' מותג הבית,7290004229443,מוצר לא נמצא,,,,,,
26,9,זוגלובק,7290012226007,מוצר לא נמצא,,,,,,
27,10, (רמי לוי 10) 6 לחמניות מותג הבית,7290016865554,10 לחמניות רגילות 75,לא ידוע,2020-04-16 07:46:43,9.90,0.1320,,
28,10,אנג'ל,7290002065555,לחמניות אנג'ל 6 יחיד,אנג'ל,2020-07-05 10:31:48,9.90,1.6500,,
29,11,תירוש 1 ל' מותג הבית,7290017812083,מיץ תירוש אדום רמי ל,לא ידוע,2019-02-06 12:55:49,12.90,12.9000,,
30,11,תירוש כרמל,7290004658625,מוצר לא נמצא,,,,,,
31,11,יין מתוק לקידוש סגל,7290000024523,תירוש של סגל 1 ליטר,סגל,2018-01-17 09:34:58,12.90,12.9000,,
32,12,קפה נמס מותג הבית,7290014704145,קפה נמס רמי לוי 200,רמי לוי,2017-08-23 12:17:38,14.90,0.0745,,
33,12,קפה נמס עלית,7290000176420,קפה נמס 200 גרם,עלית,2017-08-23 12:17:30,18.90,0.0945,,
34,13,קפה טורקי מותג הבית,7290014704114,קפה שחור שלישייה רמי,רמי לוי,2019-02-27 16:41:47,11.70,0.0557,,
35,13,קפה טורקי עלית,7290106525375,קפה מארז טורקי שלישי,עלית,2019-04-29 14:24:07,25.70,0.0685,,
