מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
44,15,מטרנה,7290013083661,מטרנה אקסטרה קר שלב 1,,15/01/2020,59.90,"8.56 ש""ח ל- 100 גרם",,
45,16,גבינה צהובה פרוסות 200 ג',7296073348191,גבינה צהובה 28%,,15/01/2020,7.60,"3.8 ש""ח ל- 100 גרם",,
46,16,נעם 200 ג',7290102394821,גבינה צהובה נעם דק דק28%,,15/01/2020,13.90,"6.95 ש""ח ל- 100 גרם",,
47,16,עמק 200 ג',4122270,גבינת עמק פרוסות 28%,,15/01/2020,15.80,"7.9 ש""ח ל- 100 גרם",,
48,17,גבינה צהובה משקל 28%,9956887,גבינה צהובה 28%,,15/01/2020,29.00,"29 ש""ח ל- 1 ק""ג",,
49,17,נעם משקל 28%,7290102395408,נועם גבינה צהובה28% חריץ,,15/01/2020,42.70,"42.7 ש""ח ל- 1 ק""ג",,
50,17,עמק משקל 28%,55350,גבינת עמק 28% חריץ,,15/01/2020,42.70,"42.7 ש""ח ל- 1 ק""ג",,
51,18,ממרח חמאה 250 ג',7296073366393,ממרח חמאה שופרסל,,15/01/2020,10.00,"4 ש""ח ל- 100 גרם",,
52,18,ממרח חמאה לורפק,5740900403222,ממרח לורפק+מלח פחות שומן,,15/01/2020,16.90,"6.76 ש""ח ל- 100 גרם",,
53,18,ממרח חמאה יורוספרד,7290108501773,ממרח חמאה במליחות עדינה,,15/01/2020,11.90,"4.76 ש""ח ל- 100 גרם",,
54,19,מרגרינה,7296073344421,מרגרינה ללא תוספת מלח,,15/01/2020,3.90,"1.95 ש""ח ל- 100 גרם",,
55,19,מרגרינה בלו-בנד,110059,"מרגרינה בלו-בנד ללת""ס",,15/01/2020,4.50,"2.25 ש""ח ל- 100 גרם",,
56,19,מרגרינה שמרית,453880,מרגרינה ללא מלח,,15/01/2020,4.90,"2.45 ש""ח ל- 100 גרם",,
57,20,שמנת לבישול 15%,7296073236603,שמנת לבישול 15% שופרסל,,15/01/2020,6.50,"2.6 ש""ח ל- 100 מ""ל",,
58,20,השף הלבן,4125721,שמנת לבישול 15%שומן,,15/01/2020,8.30,"3.32 ש""ח ל- 100 מ""ל",,
59,20,שמנת לבישול יטבתה,7290105362339,שמנת לבישול 15% מהדרין,,15/01/2020,8.40,"3.36 ש""ח ל- 100 מ""ל",,
60,21,שמנת עמידה לקצפת 38%,7296073231561,שמנת עמידה לקצפת 38%,,15/01/2020,5.80,"2.32 ש""ח ל- 100 מ""ל",,
61,21,השף הלבן,43814,שמנת עמידה לקצפת 38%,,15/01/2020,6.18,"2.47 ש""ח ל- 100 מ""ל",,
62,21,שמנת עמידה יטבתה,7290104728310,שמנת עמידה לקצפת 38%,,15/01/2020,6.18,"2.47 ש""ח ל- 100 גרם",,
63,22,"נקניקיות וינר 1 ק""ג",7296073222279,נקניקיות וינר שופרסל,,15/01/2020,23.90,"2.39 ש""ח ל- 100 גרם",,
64,22,זוגלובק,530468,נקניקיות וינר,,15/01/2020,24.90,"2.49 ש""ח ל- 100 גרם",,
65,22,טירת צבי,7290013906212,נקניקיות וינר,,15/01/2020,23.90,"2.39 ש""ח ל- 100 גרם",,
66,23,נקניקיות מרגז 400 ג',7296073367154,נקניקיות מרגז גריל,,15/01/2020,19.90,"4.98 ש""ח ל- 100 גרם",,
67,23,זוגלובק,7290012226007,נקניקיות מרגז,,15/01/2020,20.90,"5.23 ש""ח ל- 100 גרם",,
68,23,טיבון ויל,552118,נקניקיות מרגז גריל חריפה,,15/01/2020,20.90,"5.23 ש""ח ל- 100 גרם",,
69,24,5 פיתות,9398786,מארז פיתות אסלית,,15/01/2020,7.90,"1.58 ש""ח ל- 100 גרם",,
70,24,פיתות תנעמי,3217014,פיתות תנעמי,,15/01/2020,7.50,"1.5 ש""ח ל- 1 יחידה",,
71,24,ברמן אסלי,497204,פיתות בשקית,,15/01/2020,7.80,"1.56 ש""ח ל- 100 גרם",,
72,25,6 לחמניות,7296073225072,לחמניות שופרסל,,15/01/2020,8.90,"1.98 ש""ח ל- 100 גרם",,
73,25,ברמן,497228,לחמניות רגילות בשקית,,15/01/2020,10.90,"2.42 ש""ח ל- 100 גרם",,
74,25,אנג'ל,2065555,לחמניות בשקית,,15/01/2020,10.00,"2.22 ש""ח ל- 100 גרם",,
75,26,תירוש 1 ל',7296073322580,מיץ ענבים תירוש,,15/01/2020,14.50,"1.45 ש""ח ל- 100 מ""ל",,
76,26,תירוש כרמל,4658625,מיץ ענבים תירוש אדום,,15/01/2020,17.90,"1.79 ש""ח ל- 100 מ""ל",,
77,26,יין מתוק לקידוש סגל,24530,יין מתוק לקידוש סגל,,15/01/2020,14.9,"1.99 ש""ח ל- 100 מ""ל",,
78,27,מים מינרליים,7296073009771,מים מינרליים שופרסל,,15/01/2020,9.90,"0.11 ש""ח ל- 100 מ""ל",,
79,27,נביעות,2331322,מים מינרליים נביעות,,15/01/2020,10.90,"0.12 ש""ח ל- 100 מ""ל",,
80,27,מי עדן,688732,מים מינרליים מי עדן,,15/01/2020,11.90,"0.13 ש""ח ל- 100 מ""ל",,
81,28,קפה נמס,7296073219255,קפה נמס שופרסל,,15/01/2020,13.90,"6.95 ש""ח ל- 100 גרם",,
82,28,קפה נמס עלית,176420,קפה נמס עלית,,15/01/2020,19.90,"9.95 ש""ח ל- 100 גרם",,
83,29,קפה טורקי,7296073134534,קפה טורקי שופרסל,,15/01/2020,5.50,"5.5 ש""ח ל- 100 גרם",,
84,29,קפה טורקי עלית,7290106521926,קפה טורקי,,15/01/2020,10.00,"6.67 ש""ח ל- 100 גרם",,
85,30,תה ירוק 25 יח',7296073323044,תה ירוק לימונית לואיזה,,15/01/2020,8.90,"24.05 ש""ח ל- 100 גרם",,
86,30,ויסוצקי,6251275,תה ירוק סיני קלאסי,,15/01/2020,24.90,"67.3 ש""ח ל- 100 גרם",,
87,30,ליפטון 20 יח',8690637688195,תה ירוק קלאסי ליפטון,,15/01/2020,12.90,"43 ש""ח ל- 100 גרם",,
88,31,אבקת שוקו 500 ג',7296073362036,אבקת שוקו ניקולודיון,,15/01/2020,10.80,"2.16 ש""ח ל- 100 גרם",,
89,31,שוקולית עלית,174723,שוקולית בפחית עלית,,15/01/2020,11.90,"2.38 ש""ח ל- 100 גרם",,
90,32,"חומוס שופרסל 1 ק""ג",7296073224600,חומוס שופרסל,,15/01/2020,10.00,"1 ש""ח ל- 100 גרם",,
91,32,חומוס אחלה,2987963,חומוס אחלה,,15/01/2020,13.90,"1.39 ש""ח ל- 100 גרם",,
92,32,חומוס צבר,3727667,סלט חומוס צבר,,15/01/2020,14.90,"1.49 ש""ח ל- 100 גרם",,
93,33,חומוס 30% טחינה 400 גרם,7296073365662,חומוס 30% טחינה,,15/01/2020,12.90,"3.23 ש""ח ל- 100 גרם",,
94,33,חומוס אחלה 30% טחינה,7290110564339,חומוס עשיר ב30% טחינה,,15/01/2020,13.00,"3.25 ש""ח ל- 100 גרם",,
95,33,חומוסטחינה צבר,7290109351025,חומוסטחינה צבר,,15/01/2020,14.10,"3.53 ש""ח ל- 100 גרם",,
96,34,כרוב אדום 400 גרם,7296073328940,כרוב אדום 7% שומן שופרסל,,15/01/2020,9.90,"2.48 ש""ח ל- 100 גרם",,
